,ctr_t1,ctr_t2,ctr_t3,ctr_s1,ctr_s2,ctr_s3,nik_t1,nik_t2,nik_t3,nik_s1,nik_s2,nik_s3,ikk_t1,ikk_t2,ikk_t3
Adora1,0.001559341,0.000686336,0.000178543,0.003280639,0.000717233,0.001484352,0.004213813,0.005839426,0.00136496,0.000734298,0.001209883,0.002519007,0.003579145,0.001454332,0.000455553
Prim2,0.012778262,0.01005345,0.012167294,0.010669672,0.00868738,0.008798426,0.02508631,0.017533718,0.019597555,0.033798214,0.028734399,0.034613971,0.01713408,0.016731576,0.018176351
Sntg1,2.58E-05,2.65E-05,2.41E-05,0.000334187,3.46E-05,0.000220917,0,3.22E-05,7.52E-06,3.15E-05,4.05E-05,5.03E-05,2.69E-05,3.51E-05,3.96E-05
Cflar,0.37310719,0.376888371,0.441365767,0.282723848,0.239957952,0.302250234,0.676830747,0.67358223,0.533523765,0.796599381,0.676744052,0.595554003,0.434632056,0.353251095,0.385246938
Adgrb3,5.64E-05,6.93E-05,0,0.000361556,2.98E-05,4.53E-05,1.86E-05,9.91E-06,1.85E-05,1.16E-05,1.92E-05,4.13E-05,0.000113349,7.77E-05,2.71E-05
Obsl1,0.001832535,0.000228895,0.002024511,0.005776849,0.000358798,0.002404454,0.003660358,0.007233428,0.001430682,0.004027082,0.003981188,0.006025504,0.006631403,0.001091302,0.004405909
Gpr39,0.000259488,0,6.57E-05,0.000144814,0.000164896,0,0,0,0,0,0,0,0.000109716,3.34E-05,0
1700112H15Rik,0.001396083,0,0,0.001591754,0.00010875,0.000128608,0.000118868,0.000505941,0.000591316,0.001385529,0,0.000210726,0.000241193,0.000330767,0.000414436
Pld5,0.000283464,0,0.000175559,0.000409869,0.000176312,0.000257567,0,0,6.77E-05,0.000132136,5.60E-05,0.000100483,0.000126512,1.05E-05,5.27E-05
Syt14,8.37E-05,0.000322372,0.000268357,0.00170939,0.000898358,0.00050464,0.000245486,0.000208974,2.44E-05,0.000204385,0.000202056,0.000587509,0.000249056,0.00013662,0.000171179
Lmx1a,1.69E-05,0,0,0.000983048,0.000142466,0.00069799,0,0.000236714,0,0,0.000109862,9.86E-05,6.77E-05,0.000165073,0.000310243
A830018L16Rik,5.50E-05,3.87E-05,0,0.000507466,9.82E-05,0.000396346,1.89E-05,0.000107532,1.26E-05,8.94E-05,4.68E-05,0.00014556,3.20E-05,9.37E-05,0.000102765
Cpa6,6.80E-06,0,0,3.61E-05,1.64E-05,4.86E-05,0,0,8.93E-06,0,0,6.37E-05,4.55E-05,1.67E-05,2.09E-05
Lactb2,0.12324693,0.09907701,0.120726466,0.08311407,0.076148165,0.080356584,0.165226824,0.148118799,0.140672139,0.125894986,0.108843845,0.095580454,0.107368009,0.127698544,0.118670686
Khdrbs2,0,0,6.65E-06,0.000156476,0,9.48E-05,2.92E-05,3.11E-05,0,0.000109449,5.41E-05,0,5.93E-05,9.48E-05,0
Lonrf2,0.000749161,0.000432783,0,0.001654937,0.000226133,0.002228542,0.001647816,0.000876706,0.001147603,0.000685965,0.000949406,0.001825758,0.000668711,0.000611372,0
1700066B17Rik,0,0.001903458,0,0.001164595,0,0.002352368,0,0,0,0.004344479,0.002147484,0,0.000882334,0,0.00101073
Actr1b,0.413794615,0.431805055,0.388470272,0.30911706,0.368040948,0.363921344,0.373129981,0.406996081,0.388115744,0.31536831,0.34723161,0.308946321,0.47347085,0.450026042,0.392933471
Dnah7b,9.20E-05,0,5.27E-05,0.001811953,0.000423226,0.00087589,6.94E-05,3.69E-05,0.000115063,0.00016369,9.52E-05,0.000276782,0.000527998,0.000107272,0.00020161
Gpr45,0.000244174,0.000263306,0.000352266,0.002128803,0.000275159,0.000743779,0.00352319,0.004709066,0.003548013,0.002969091,0.003359628,0.002551652,0.000479496,0.000159411,0.00079894
Pgap1,0.013571795,0.015038694,0.017060797,0.034616474,0.030933057,0.029736644,0.038880699,0.039410659,0.030262699,0.033731513,0.030139979,0.027518756,0.037023219,0.032371875,0.037931109
Dnah7a,0.000360192,0.000100279,4.17E-05,0.001472496,0.000723076,0.000570074,0.000217633,0.000121884,0.000193734,0.000190732,0.000245126,0.000385815,0.000360249,0.000446229,0.000159744
Plcl1,0.006116503,0.005118479,0.006309624,0.006560629,0.006429854,0.006215413,0.005204868,0.003511634,0.004377816,0.003315804,0.001550979,0.002401568,0.003048462,0.0044971,0.005137485
Pard3b,0.000170142,9.29E-05,4.19E-05,0.000388283,0.000116463,0.000386408,0.002043858,0.003292352,0.002480258,0.00368007,0.003524621,0.003278529,0.000505839,0.000521503,0.001117799
Bmpr2,0.009999832,0.011526744,0.015880465,0.011630735,0.013337241,0.014577254,0.043212742,0.054081016,0.039878361,0.048600747,0.043474587,0.04251994,0.015288349,0.01443291,0.01187751
Spag16,0.000221521,3.46E-05,5.40E-05,0.000349159,0.000173489,6.41E-05,0.000150125,0.000172356,0.000153291,8.22E-05,0.00011381,0.000133069,4.41E-05,7.33E-06,0.000114784
Abca12,0.000249189,0.000197937,0.000374481,0.001706466,0.000432499,0.000289095,6.17E-05,0.000109355,0.00063393,0.00025669,0.000304518,0.00043725,0.00052132,0.000152518,0.000143324
Xrcc5,0.041546901,0.038118055,0.034050453,0.048641376,0.054039215,0.058950509,0.09453983,0.079762456,0.071350834,0.061531315,0.044946853,0.050200399,0.052522707,0.048169503,0.055642695
Usp37,0.066343115,0.057003165,0.071736671,0.070416569,0.063657901,0.055199739,0.085793425,0.065084094,0.053810587,0.063987744,0.046047685,0.054128824,0.103588733,0.068836125,0.122340206
Erbb4,7.37E-05,4.04E-05,5.41E-05,0.000432812,2.11E-05,0.000110618,1.98E-05,7.02E-06,3.28E-05,7.14E-05,0,7.89E-05,2.01E-05,2.14E-05,1.53E-05
Dock10,0.271196437,0.260902447,0.299117898,0.26345698,0.242751032,0.250544585,0.290655142,0.305145399,0.301106085,0.309475468,0.284304133,0.283947926,0.356699426,0.302630074,0.379197666
Dis3l2,0.011615358,0.011419695,0.012209541,0.014050683,0.012430616,0.013735967,0.024633174,0.023703954,0.024151045,0.021575357,0.020342702,0.022197886,0.014096637,0.015843761,0.016981554
Sh3bp4,0.000952823,0.000880699,0.00057276,0.003479999,0.000575215,0.001496552,0.052939425,0.058918818,0.038950021,0.044076031,0.052233264,0.027642244,0.001148179,0.001788424,0.001071693
Slc16a14,0.002666881,0,0,0.005363102,0.001221368,0.000131308,0,0.000516566,0.000120747,0.000101045,0.000199786,0.002043942,0.000985032,0,0
Pask,0.032647045,0.035795743,0.033429613,0.017520752,0.015617477,0.025657906,0.065931191,0.032304498,0.036916692,0.022127269,0.014471218,0.015040552,0.079541998,0.061628461,0.083038667
Serpinb12,0.000890998,0.001098071,0,0.005878547,0,0.001357039,0.000470351,0,0.001403873,0.000522136,0.000774278,0.00333531,0.002863142,0,0.00054663
Cdh20,5.33E-05,0,0,0.000272171,0,0.000219904,0,0,0.000233326,1.30E-05,5.15E-05,0.000124725,0.000111034,0,7.27E-05
Cdh7,0.000323881,0,0,0.000903754,0.000164653,0.000340759,2.25E-05,0,0.000134293,0.000112381,9.26E-05,0.000219348,0.000707537,0,2.61E-05
Cntnap5a,1.94E-05,3.44E-06,6.09E-05,0.000126347,0,0.000140365,7.86E-06,2.51E-05,2.74E-05,2.29E-05,2.59E-05,7.67E-05,0.000103702,0,6.40E-05
Dpp10,8.82E-06,0,4.24E-06,9.35E-05,2.77E-05,1.76E-05,0.000107062,2.48E-05,4.63E-05,3.68E-05,0.000101531,6.19E-06,2.60E-05,4.32E-06,4.87E-05
Clasp1,0.048255756,0.048564886,0.052138989,0.05696645,0.054859377,0.05928016,0.092777756,0.080876364,0.078744851,0.086743093,0.076494712,0.072813755,0.090037933,0.061933163,0.095855941
Mapkapk2,0.311780867,0.309679954,0.288469804,0.208573986,0.208194185,0.205842813,0.621501611,0.744754557,0.691782164,0.537196445,0.538222371,0.575910248,0.418673552,0.382773939,0.394369565
Cdk18,0.0037223,0.000339527,0.00211978,0.003462216,0.001300974,0.000559467,0.000517098,0.000962911,0.000128617,0.000215261,0,0.001145875,0.000786926,0.000239817,0
Rab3gap1,0.203362081,0.192394685,0.184400336,0.186465399,0.192626015,0.184243998,0.163959288,0.153248717,0.143945034,0.13465941,0.138608438,0.145373637,0.193476238,0.191962953,0.207957144
Thsd7b,0.000237325,2.30E-05,0.000208439,0.000361649,0.000109814,0.000211032,0.000161291,0.000147679,0.000268695,0.000290435,0.000126582,0.000249361,0.000437633,0.000386191,0.000588503
Rnpep,0.344685904,0.363651476,0.275859789,0.303460444,0.283877111,0.329427019,0.161038458,0.102284957,0.150473906,0.084316188,0.074199866,0.081819563,0.458812139,0.448883032,0.378361946
Camsap2,0.033736879,0.029199347,0.033492383,0.06208901,0.056157031,0.060159222,0.124538544,0.113491132,0.124855649,0.110430948,0.104041511,0.119222413,0.056781129,0.052038986,0.063668917
Aspm,0.194231529,0.201697651,0.280001389,0.148395175,0.189641791,0.188731206,0.300506644,0.215768605,0.207219489,0.129454866,0.079699389,0.096867587,0.596203011,0.388052097,0.716941777
Kcnt2,1.47E-05,0.000110365,0,0.000532408,2.66E-05,0.000251804,0,2.06E-05,1.93E-05,0,1.60E-05,0.000103147,9.84E-05,8.99E-05,5.63E-05
Pla2g4a,0.002041934,0.002170474,0.001792071,0.003500338,0.002046293,0.001486958,0.00053896,0.0001147,0.000455785,0.000246799,0.000266166,0.000453842,0.000683497,0.000349938,0.000219228
Brinp3,3.30E-05,0,7.93E-05,2.33E-05,2.39E-05,3.77E-05,0,1.85E-05,8.66E-06,5.80E-05,4.30E-05,0.000177428,7.06E-05,0,0
Cdc73,0.076958419,0.076516634,0.083159894,0.089421852,0.084171245,0.081506444,0.105978649,0.101997214,0.102455041,0.099218427,0.081085075,0.090101037,0.104199759,0.073986124,0.104625621
Stx6,0.139475534,0.161021927,0.14817422,0.150577832,0.140749644,0.139174019,0.198322859,0.187329871,0.205508612,0.209841965,0.220478804,0.187155155,0.132611936,0.145223446,0.140589038
1700025G04Rik,0.010959507,0.009304056,0.014127763,0.006356102,0.004410805,0.006217487,0.031539271,0.039611742,0.034883505,0.056084228,0.047201406,0.055898913,0.00726881,0.00750392,0.006522468
Nmnat2,0.00685799,0.008888035,0.007634932,0.004252033,0.00345835,0.003856148,0.002332875,0.002666251,0.002578897,0.000917194,0.001795703,0.00158917,0.004580195,0.004107318,0.003062665
Brinp2,0.00035104,0.000223771,0.000232846,0.001069609,0.000643072,0.000207409,3.20E-05,0,0.000381452,0.000159606,0,0.000339844,0.000972444,5.93E-05,0.000408449
Rasal2,0.001153339,0.001030203,0.002132317,0.000719376,0.000807434,0.000733454,0.002890703,0.002749297,0.003423199,0.000841289,0.001410734,0.001122418,0.002180089,0.002159251,0.003686537
Rcsd1,0.21388652,0.232891905,0.229896377,0.234864412,0.270170905,0.261135492,0.274033282,0.272798958,0.293749624,0.366755335,0.324487999,0.353245666,0.312541475,0.298409358,0.278665596
Rabgap1l,0.036697527,0.03519682,0.03696776,0.058637147,0.046016145,0.044153003,0.063877979,0.060571806,0.065896119,0.060434514,0.055126072,0.056286532,0.035532782,0.029739641,0.045969186
Rgs7,9.31E-06,2.15E-05,0,0.000219261,6.74E-05,7.97E-05,0,0,3.26E-05,0,6.06E-05,2.90E-05,2.49E-05,0.000106313,1.90E-05
Fcrla,0.002955179,0.007759902,0.010012521,0.027062162,0.034383108,0.042963148,0.001418195,0,0.00141098,0.001180754,0.006711959,0.000628537,0.01330907,0.000657723,0.001648193
Cnih3,7.47E-05,0,0,0.00013197,0,0.000213254,0,0,0,0,0,0,0.000333283,0,0
Itpkb,0.359680734,0.346649882,0.357418589,0.306700853,0.281199171,0.300553975,0.120349146,0.130223142,0.112138703,0.130300283,0.147518316,0.13332023,0.271984727,0.279615135,0.260933341
Smyd3,0.002047087,0.00212371,0.002752306,0.004473864,0.003406384,0.002828017,0.004600871,0.006316396,0.006055475,0.005093509,0.005422407,0.005094926,0.003027059,0.00302332,0.003970201
Akt3,0.016258669,0.013384278,0.016519758,0.018556751,0.01556814,0.017895029,0.03223027,0.032503985,0.033059572,0.039413762,0.037002252,0.037629146,0.024943724,0.017497576,0.027863486
Trp53bp2,0.123274937,0.107317869,0.131151874,0.109196074,0.087281111,0.113382173,0.085075583,0.069189341,0.083317123,0.077265997,0.091190944,0.089169325,0.108076788,0.106781136,0.128449498
Esrrg,7.10E-05,5.13E-06,5.87E-05,0.00039982,9.64E-05,0.000126682,6.44E-05,4.98E-05,2.33E-05,7.80E-05,3.37E-05,0.000119353,0.000196005,8.69E-05,8.85E-05
Ptpn14,0.001892949,0.000690656,0.001589777,0.00428967,0.000656133,0.002845131,0.21032528,0.23949871,0.199789083,0.308186733,0.287181885,0.264473033,0.005069017,0.004412628,0.003695142
Rps6kc1,0.008139647,0.008618856,0.008464217,0.011453892,0.012229054,0.011413635,0.010616345,0.013259754,0.013382296,0.009900128,0.009483606,0.009306152,0.011621494,0.008960465,0.010155026
Ush2a,0.000426429,3.53E-05,0.000197711,0.000838088,0.000235499,0.000294885,6.06E-05,0.000145009,0.000160691,4.20E-05,7.89E-05,0.000268431,0.000240671,5.62E-05,0.000117316
Tgfb2,0.000420116,0.000149352,0.000388522,0.002113118,0.001404676,0.001384311,0.01317859,0.012570877,0.017566925,0.015091161,0.011092846,0.014441035,0.001557697,0.000870302,0.000892185
A330023F24Rik,0.013458673,0.013025558,0.00824787,0.020000819,0.011237747,0.009982939,0.007554535,0.004295461,0.005507983,0.005569519,0.003037819,0.003424804,0.017552041,0.010270094,0.011259464
Xkr4,4.41E-05,0,0,0.000218334,0.000170477,1.68E-05,7.76E-06,0,9.27E-05,1.29E-05,0,2.75E-05,9.45E-05,0,9.02E-06
Rgs20,5.86E-05,0.000309272,0.000120681,0.000325226,0.000161597,9.56E-05,2.21E-05,0,0.000834736,0.000551474,7.27E-05,0.000215277,0.000358402,4.10E-05,0.000461876
Atp6v1h,0.067266303,0.067963537,0.066072769,0.065177617,0.050810919,0.061956533,0.03616904,0.043547682,0.039266809,0.046686994,0.036368316,0.037941454,0.045411523,0.040236913,0.052242612
Rp1,0.000232979,0,9.47E-05,0.000289951,8.72E-05,0.000318606,1.73E-05,5.53E-05,6.89E-05,0.000100954,1.43E-05,0.000130511,6.15E-05,8.03E-05,6.04E-05
St18,0.000111516,6.65E-05,5.19E-05,0.000635726,0.000191106,0.000236275,0.000911507,0.000626406,0.001435877,0.001019769,0.00127386,0.001775806,7.71E-05,3.52E-05,0.000143451
Adhfe1,0.001068043,0,0.000987725,0.002903835,0.001388742,0.00175964,0.001626379,0.000692241,0.001402357,0.001985987,0.001427894,0.001826033,0.002640047,0.002111964,0.000126009
Arfgef1,0.242419043,0.243158459,0.288811281,0.320417071,0.288308284,0.320204595,0.354608601,0.359863724,0.368766909,0.34991192,0.297186448,0.34405346,0.32266823,0.263472583,0.372917941
Sgk3,0.008623003,0.007226468,0.00695322,0.010452208,0.006161491,0.00919232,0.009290526,0.011686662,0.010926979,0.023061399,0.021291941,0.018888509,0.008339402,0.006086651,0.009833907
Mybl1,0.01479817,0.017618496,0.016460305,0.016082378,0.009898717,0.014515748,0.010386924,0.010476892,0.011302902,0.008828055,0.004719946,0.006521524,0.042810495,0.016358372,0.051932324
Cspp1,0.047409748,0.046236675,0.040878713,0.052103765,0.052229538,0.052010043,0.031831918,0.026072867,0.039569599,0.027459651,0.025431557,0.025604106,0.057992147,0.038523317,0.064301602
Tcf24,0,0,0,0.022014884,0.002506783,0.000988176,0.00091334,0,0.003634773,0.002281271,0.000751757,0.003238298,0.006486349,0.002541501,0.005307308
2610203C22Rik,0.00084088,0,0.001010938,0.001080756,0.000415338,0.000163727,0.000857522,0.000161025,0.000752788,4.20E-05,8.30E-05,0.000491828,0.000307056,0.000748606,0.000117246
Prex2,0.000251345,0.000140193,0,0.001087496,0.000188362,0.000408389,0.000137258,1.22E-05,7.97E-05,0.000171417,0.000160049,0.000324438,0.000116045,7.43E-05,5.32E-05
Sulf1,0.00028651,0.000294247,0.000287045,0.001772167,0.000211402,0.000522736,0.000168052,0.000357641,0.000229895,0.000104937,0.000207481,0.000316538,0.000873789,0.000370206,0.000512677
Ncoa2,0.124359511,0.133218869,0.141510524,0.121144916,0.110480239,0.104840325,0.165049596,0.182728584,0.173795102,0.171009537,0.185106605,0.154958295,0.132856712,0.135737441,0.138571345
Slco5a1,0.000852857,0,0,0.001544887,0.00108122,0.002100644,0.047160173,0.053535792,0.037317838,0.042263083,0.033814242,0.022896471,0.000656597,0.000313198,0.000130808
Eya1,0.000418672,4.40E-05,0,0.000840791,0.000482524,0.000788019,0.000226037,0.000240522,0.000649673,0.000250923,0.000620159,0.000222618,0.000280285,0.000139773,0.000116753
Kcnb2,0.000123193,0,0,0.000370111,1.49E-05,5.28E-05,3.25E-05,8.65E-06,0,2.71E-05,1.34E-05,6.48E-05,8.25E-05,0,3.78E-05
Stau2,0.000968679,7.46E-05,0.000310556,0.000815187,0.000300748,0.000434702,0.004090863,0.00431415,0.003524955,0.007359284,0.0043893,0.005363602,0.000914066,0.000993791,0.00099048
Rdh10,0.020914381,0.019109058,0.021040097,0.027359496,0.020201476,0.02842124,0.026395749,0.018634815,0.030932975,0.026836608,0.022039337,0.025196671,0.020470936,0.021069802,0.037018291
Eloc,0.1564796,0.173594209,0.18443291,0.131522094,0.130546493,0.131577797,0.308549974,0.262263741,0.266648778,0.222368801,0.186087212,0.217235827,0.210336311,0.200465524,0.25144335
Sbspon,0.001902642,0.00327743,0.001829944,0.006358055,0.003592039,0.000790317,0.003652325,0.002234666,0.002997839,0.003801042,0.002630406,0.00339925,0.008985682,8.47E-05,0.005836387
Jph1,0.000584802,0,0.000145463,0.0011404,0.000194782,0,0,0.000283185,0.000264777,0,0.000175239,0.000141537,0.000270001,0,0
Gm16070,0,0,0,0.000276146,0.000251552,0,0,7.31E-05,0,0.000228923,0.000226314,0.000243719,0,0.000510073,0.000479323
Tfap2d,0.000636875,0.000539611,0.000510451,0.001275583,0,0.000363749,0,0.000476995,0.001003473,0.000279913,0.000553445,0.000447008,0.000227394,0.000259869,0.000130242
Pkhd1,0.000196749,0.000116432,0.000219231,0.000720849,6.95E-05,0.000349451,8.23E-05,0.000141517,0.000107114,0.000184546,6.78E-05,0.000230156,0.000186329,0.000281963,0.000147203
Kcnq5,0.000713272,0.000964666,0.000648161,0.001652594,0.000956247,0.001805288,0.00455866,0.00483069,0.00532479,0.004078509,0.003700345,0.00498396,0.001520357,0.001214783,0.001785502
Rims1,3.88E-05,5.98E-06,0.000118166,0.000356541,8.12E-05,0.00012557,3.41E-05,0,0.000217355,5.12E-05,5.62E-06,0.000163389,0.000166232,0.000120316,0.000103145
Smap1,0.195407235,0.16315728,0.174322208,0.134440682,0.132077245,0.129336502,0.161633079,0.14854871,0.177215408,0.151617112,0.153545969,0.211677212,0.266908833,0.235865709,0.25731033
Col19a1,0.000177548,1.91E-05,9.93E-06,0.001386426,0.000269208,0.000365532,7.63E-05,0.000127564,0.000390345,0.000208695,9.87E-05,0.000347767,0.000353819,0.000171849,0.000139324
Col9a1,0.000250692,0.000537912,0,0.001582266,8.65E-05,0.001125,0.000567165,0.00100585,0.001128559,0.000314805,0,4.19E-05,0.000671314,0.000306876,0.00043943
Lgsn,0.000711918,0,0.000684716,0.002684015,0.000458434,0,0,0,0.001246345,0.000208596,0.000515548,0.000333119,0.001016748,0.000929566,0
4931428L18Rik,7.77E-05,0,0,0.000126796,0,0.000136595,0,0,0.00014131,0,0,5.60E-05,1.60E-05,5.86E-05,7.34E-05
Dst,0.006882213,0.004739915,0.004843353,0.010252139,0.005609943,0.007708098,0.0372965,0.041346056,0.044141968,0.057891668,0.058763539,0.047613442,0.010895865,0.005375312,0.008269451
Ptpn18,2.253611759,2.285528902,1.831082506,1.180670919,1.366696091,1.364311426,0.868582957,0.884758517,0.959003364,0.760530032,0.932741356,0.850063881,1.427886279,1.895108715,1.14347121
Plekhb2,0.448687823,0.486663991,0.436741013,0.374281537,0.362403981,0.343901306,0.807586956,0.906527626,0.808725289,0.766377537,0.781714521,0.736128012,0.444685714,0.452803172,0.42971988
Fam178b,4.46E-05,0.000103125,2.68E-05,0.000985863,0.000377187,6.37E-05,8.83E-05,0,0.000322287,2.45E-05,0.000218149,0.000130515,0.000328646,0.00010926,0.000239572
Uggt1,0.381479526,0.408953517,0.387690664,0.300414674,0.308101118,0.304168127,0.187694157,0.163695349,0.169744525,0.159697379,0.12620109,0.132559199,0.449787631,0.409389517,0.431363719
Lman2l,0.026991549,0.020056566,0.035886189,0.056679595,0.03016114,0.026902619,0.02165231,0.011594245,0.019874377,0.018143472,0.013682483,0.014982435,0.035714371,0.025914289,0.03246942
Cnga3,0.001373147,0,0.00066034,0.001553078,0.000530536,0.002195947,0.029792271,0.038489092,0.033535106,0.016717249,0.015572119,0.011179838,0.00051479,0.000403413,0.000252729
Inpp4a,0.076351973,0.083186308,0.075306346,0.06548418,0.060637987,0.052458531,0.02150655,0.024110714,0.023880735,0.022115809,0.022285237,0.02328998,0.06779566,0.06450568,0.06981323
Mgat4a,0.021895056,0.028657853,0.026227704,0.023693006,0.025318445,0.025373006,0.039958218,0.050168523,0.049268345,0.030420796,0.021399436,0.023261781,0.041955501,0.030233211,0.036339641
4930594C11Rik,0.058374827,0.096208516,0.02580164,0.127436095,0.11297733,0.169154168,0.252642531,0.092825578,0.241212786,0.101870541,0.056882262,0.062261243,0.23217898,0.088270919,0.100066148
Tmem131,0.08246579,0.079447333,0.101149459,0.101852897,0.093460655,0.095269496,0.126729229,0.121714294,0.1428414,0.126516358,0.109129303,0.128568616,0.131423971,0.111550662,0.132499079
Mitd1,0.239657449,0.205955389,0.282638278,0.358854176,0.388239891,0.437738404,0.125013041,0.119479918,0.108547248,0.083644648,0.067350458,0.06507582,0.331144082,0.219683334,0.371671035
Eif5b,0.4174056,0.439877225,0.440367274,0.484068375,0.450205567,0.488268679,0.54306564,0.455682416,0.537236802,0.402058626,0.364653693,0.458968208,0.566720644,0.43980445,0.604348102
Aff3,0.00574534,0.00400067,0.003685644,0.068199392,0.059043324,0.058243744,0.000698561,0.001060789,0.000977353,0.024760581,0.025316905,0.020143244,0.002495282,0.001606374,0.001564504
Rfx8,0.000410323,0,0.001334827,0.002132766,0.000757701,0.001102843,0.001274153,0.00013558,0.002408575,0.001219952,0.001887728,0.0024282,0.000129268,0.000590919,0.000592316
Tbc1d8,0.003020449,0.002838152,0.00223001,0.003588112,0.002300097,0.003006427,0.040391039,0.055088259,0.027547347,0.027073608,0.034198293,0.021229141,0.005235569,0.001442129,0.002191373
Npas2,0.000372753,3.67E-05,0.000381394,0.001401586,0.000191514,0.000385025,0.000167467,0.000890992,0.000291576,0.003590284,0.003618287,0.003377024,0.000828272,0.000135917,0.000340595
Il1r1,0.001108396,0.000168502,0.000701345,0.002164995,0.001021309,0.001374396,0.003002553,0.003604575,0.002719189,0.004743305,0.005988297,0.003889783,0.001601216,0.000428464,0.000492108
Il1r2,0.001524282,0.003157881,0.000126383,0.006223556,0.003363499,0.005853948,0.557362989,0.447227534,0.393862894,0.405484704,0.360440396,0.32907345,0.00978221,0.008943424,0.015075296
Map4k4,0.368583886,0.340128843,0.332940385,0.550490901,0.508204346,0.528752271,0.339048681,0.387724081,0.394586101,0.586617952,0.602687374,0.633388563,0.301692188,0.306846495,0.285018815
Slc9a2,0.000272808,0.000140088,0,0.000696393,0.000841765,0.00030297,0.000480044,0.000510806,3.98E-05,0.00016653,0.000329265,0.000531882,0.000487025,0.000222632,0.000185965
Mrps9,0.123913831,0.107482701,0.095101136,0.098345157,0.107432452,0.09102187,0.163434985,0.131471362,0.139911652,0.113718738,0.118590981,0.130715336,0.120193588,0.129531808,0.120113733
Nck2,0.050139,0.047409303,0.045071314,0.032598328,0.024281981,0.027740445,0.088921546,0.102774686,0.098616775,0.105162768,0.100137806,0.109362757,0.051824813,0.050909136,0.044270935
Uxs1,0.030134723,0.022558083,0.021233624,0.018222048,0.022529418,0.019946891,0.046705233,0.042084681,0.039960412,0.025107525,0.019148961,0.024590394,0.02395941,0.033590357,0.035200189
Gulp1,0.000126034,0,0.000105408,0.000154945,0,0.000219082,0,1.54E-05,7.20E-05,2.41E-05,2.38E-05,8.97E-05,0,2.68E-05,0
Ercc5,0.118002727,0.139917348,0.134273419,0.1456151,0.133585953,0.150281198,0.19390797,0.168705806,0.199683252,0.182043212,0.150687619,0.209435065,0.172055964,0.15257489,0.156736663
Col5a2,0.000646306,0.000168616,0.000125325,0.001068492,0.000402759,0.0008633,8.25E-05,0.000146388,8.21E-05,6.87E-05,6.79E-05,0.000195108,0.000949097,0.000102084,0
Dnah7c,0.000323865,2.44E-05,0.000355505,0.001032715,0.00024652,0.000331747,0.000148666,3.95E-05,0.000184887,0.000162455,0.000130012,0.000370619,0.000377069,0.000172368,0.00021597
Tmeff2,6.30E-05,8.96E-05,9.33E-05,0.000137076,0.000280953,0.000124596,1.28E-05,0,0.000216418,6.39E-05,3.16E-05,4.54E-05,1.30E-05,0,0.000178448
9330175M20Rik,0.000442699,0,0,0.001935306,0.000815833,0.000465769,3.07E-05,0.000196321,0.000611864,0.000153608,0.000177167,0.000626892,0,0.000171131,0.000285892
Myo1b,0.000339506,0.000112074,0.000349857,0.00031428,0.000195198,0.000969536,0.009451844,0.012395978,0.007387152,0.005826529,0.004109359,0.005900542,0.000714326,0.000554125,0.000867866
Gls,0.222248716,0.208995555,0.261521767,0.257305893,0.241430335,0.234959419,0.347891919,0.348543772,0.328365734,0.311447813,0.273999037,0.283353921,0.320606507,0.262648697,0.34031441
Stat4,0.332920792,0.307637383,0.344644909,0.287130451,0.27343081,0.306505981,0.319799111,0.355232957,0.324965577,0.239751601,0.243417977,0.241388012,0.344512105,0.311105686,0.347135028
Asnsd1,0.362062383,0.295184013,0.291257955,0.295249472,0.292863797,0.289839059,0.551666425,0.559441509,0.542510955,0.446617414,0.462858947,0.565872258,0.360309463,0.341010885,0.380805513
Mfsd6,0.049409051,0.050059588,0.058901906,0.065021083,0.101433559,0.081228917,0.042673419,0.033525564,0.028221552,0.029219958,0.023388585,0.028589888,0.089217938,0.073568282,0.110080214
Pms1,0.022565209,0.028145595,0.027308621,0.031153488,0.024806535,0.030617954,0.049918471,0.034524543,0.038958982,0.042629334,0.035074451,0.043051327,0.033584865,0.02768342,0.045776421
Ccdc150,6.83E-05,0.000157895,0.000164298,0.001288064,0.000632509,0.000748007,0.003156204,0.002398901,0.00218315,0.002802961,0.002548346,0.002264744,0.000762405,5.58E-05,0.000139736
Hecw2,0.00042931,4.80E-05,0.000341313,0.000832117,0.000476543,0.000346046,0.005729693,0.00429795,0.005900563,0.011100495,0.006949942,0.00936367,0.00032449,0.000169524,0.000499153
Boll,0.000339562,0.000216454,0.000225233,0.001489876,0.000452397,0.000535005,0.001823426,0.001841618,0.002767346,0.002495922,0.001907844,0.002191546,0.000846583,0.000573328,0.000502847
Ankrd44,0.204089217,0.209300989,0.215627177,0.137822015,0.132324136,0.129809238,0.065437103,0.066016629,0.066259823,0.039134442,0.033835506,0.040511276,0.201189831,0.203167419,0.207034088
Rftn2,0.008024622,0.007625666,0.00468104,0.003188732,0.004701104,0.011458072,0.00200527,0.001466969,0.004114828,0.002399959,0.001289461,0.001166451,0.002860917,0.003487473,0.005097918
9130227L01Rik,0.000687089,0,0,0.001272075,0.000158016,0.000747481,0.000345437,0.000918933,0.000859198,0.000143801,0.000213243,0.000382739,8.76E-05,0,0.000100365
Satb2,9.46E-05,3.36E-05,0.000140031,0.000977737,0.000773469,6.24E-05,0.000557218,0.000511143,0.001280816,0.000143977,0.000253042,0.000323597,0.000194938,0.000320801,0.00040195
