,nik_s1,nik_s2,nik_s3,ctr_s1,ctr_s2,ctr_s3,nik_t3,ikk_t2,ikk_t3,ctr_t1,ctr_t2,ctr_t3,nik_t1,nik_t2
Adora1,0.012179308,0.027059279,0.0017989,0.002319251,0,0.008408298,0.003021319,0.000530228,0.000185734,0.002014078,0,0.000430091,0.008288018,0.008163542
Prim2,0.03227364,0.026490608,0.028520546,0.016135662,0.01717582,0.029763571,0.033967787,0.039807942,0.047219973,0.028683396,0.030589236,0.0349698,0.038839858,0.031896248
Sntg1,0.000901996,0.000797851,0.00010577,6.46E-05,0.000475701,0.000212748,5.83E-05,1.02E-05,2.87E-05,8.16E-05,4.20E-06,8.30E-06,0.000200804,0.000617135
Cflar,0.536429841,0.511164415,0.363353731,0.19911565,0.148319842,0.17835454,0.488522144,0.239496313,0.133292883,0.364123059,0.168640379,0.195663067,0.644627042,0.693185805
Adgrb3,0.000354604,0.001418814,0.000118009,0.000269313,0.001040031,0.000419071,8.97E-05,2.52E-05,5.29E-05,0.000110028,0.000103372,8.17E-05,0.00028384,0.000767686
Obsl1,0.034328982,0.026562175,0.018626616,0.009281704,0.002835556,0.012320029,0.012595207,0.007191172,0.00371657,0.007523033,0.004209217,0.006024326,0.024169561,0.026447719
Gpr39,0.000397434,0.000751228,0,0,0.00015638,0.00010141,0,6.50E-05,3.42E-05,0.000148176,0,0,0.000638111,0.000919275
Pld5,0.000999876,0.002244328,0.000138732,0.000357725,0.002335961,0.000207293,0.000218443,0,8.59E-05,0.000186393,1.26E-05,2.49E-05,0.00151619,0.001965827
Syt14,0.00442887,0.006266945,0.001201698,0.001646133,0.000319485,0.001933685,0.000331127,0.000243514,0.000209375,0.000454086,0.000299817,0.001239018,0.001786502,0.006510684
Lmx1a,0.001560778,0.003361093,0.000311136,0.000409492,0,0.000469366,0.000514399,0.000280855,0.000189735,0.000228606,0.000148197,0.000122043,0.001225131,0.001399351
A830018L16Rik,0.00050644,0.001365606,0.000110422,0.000199307,0,0.000266524,0.000486826,7.40E-05,0.000131681,8.44E-05,0.000119215,0,0.00062114,0.000708702
Cpa6,9.00E-05,0.000748396,0,9.44E-05,0,0.000303082,8.65E-05,0,1.70E-05,0,3.99E-05,9.85E-06,0.000370828,0.000228952
Lactb2,0.176021508,0.140821373,0.173850979,0.103545323,0.152619854,0.118551122,0.159834685,0.125957468,0.127125205,0.094253286,0.111679195,0.115176261,0.205526561,0.180730981
Efhc1,0.007073735,0.018856174,0.001819151,0.000713805,0.003140167,0.001909074,0.002266591,0.000734356,0.000600224,0.002138589,0.000401844,0.000397113,0.009076233,0.013075392
Khdrbs2,0.00017568,0.00051367,5.11E-05,2.88E-05,0,0.000174637,2.81E-05,2.63E-05,2.08E-05,0,4.87E-05,0,0.000244197,0.000310408
Lonrf2,0.016020445,0.019530963,0.00266478,0.002383251,0.007684575,0.006837576,0.000317525,0.000371495,0.001249264,0.000677342,0.00091478,0.000452004,0.007454388,0.018349565
Actr1b,0.600992918,0.546923846,0.70007196,0.752636569,0.590372353,0.821697045,0.6992973,0.67316425,0.692566692,0.614848549,0.702229185,0.657436211,0.625631784,0.66580074
Dnah7b,0.004288895,0.005392699,0.001334456,0.000577832,0.002257692,0.001480343,0.000512563,0.000490176,0.000471274,0.000463504,0.000500786,5.08E-05,0.002251958,0.003814407
Gpr45,0.00533996,0.007051252,0.000450697,0.000338955,0,0.000785664,0.000165585,0.000697427,0.000122152,0.001236288,0.00052475,0.000518571,0.003971874,0.004748006
Pgap1,0.035106416,0.038745206,0.026369351,0.039332609,0.06007036,0.033120266,0.026077046,0.031057194,0.026284496,0.046069055,0.030655565,0.034523888,0.043428229,0.051855308
Dnah7a,0.004293753,0.005967671,0.000670852,0.000542179,0.005441118,0.002932339,0.000551799,0.0001756,0.000445052,0.000976987,0.000330661,0.000276495,0.002771098,0.004167359
Plcl1,0.005104497,0.004935206,0.002760142,0.003240952,0.006141951,0.005057489,0.007909767,0.003371004,0.003108138,0.012853655,0.006491403,0.004604471,0.008574484,0.009264423
Pard3b,0.001141229,0.001142216,0.000312194,0.000344051,0.00027612,0.000452622,0.000252112,7.65E-05,0.000147445,0.00012355,0.000137413,0.000139675,0.001224083,0.000504984
Bmpr2,0.054016669,0.057243439,0.039973878,0.046971086,0.058981467,0.049645333,0.039032187,0.029281893,0.026845188,0.017220321,0.020752207,0.026165188,0.044790766,0.043881444
Spag16,0.000364292,0.000854181,0.000296994,6.75E-05,0.000308492,0.000394546,0.000266444,0.000146068,0.000142268,1.22E-05,0.000114046,6.50E-05,0.000505076,0.000671651
Abca12,0.006963143,0.009423467,0.001563128,0.001648515,0.0054391,0.002862207,0.00106937,0.000278029,0.000350609,0.00097161,0.000296671,0.000112761,0.005093783,0.005660897
Xrcc5,0.083216672,0.080788814,0.106596992,0.04925232,0.062081708,0.08422445,0.117647046,0.07816247,0.099465827,0.0633658,0.071163281,0.065521327,0.107087233,0.106140894
Usp37,0.134249081,0.134093825,0.159457981,0.122368172,0.139179507,0.147932876,0.164125065,0.157882558,0.176703866,0.134291535,0.144223932,0.195176451,0.161943311,0.168263368
Erbb4,0.00051568,0.001297306,0.000178745,0.000264521,0.000185998,0.00025515,1.91E-05,1.78E-05,3.44E-05,1.02E-05,2.20E-05,7.24E-06,0.000570847,0.000841064
D530049I02Rik,0.005140841,0.000871379,0,0,0.001692984,0.000313678,0.000644575,0.000402204,0.000211333,0.00034375,0,0,0.000438619,0.002464344
Dock10,0.327113028,0.355938087,0.297733935,0.322704942,0.285255559,0.306360647,0.372950938,0.34896111,0.355991575,0.382109037,0.3167905,0.362056304,0.398406236,0.419913667
Dis3l2,0.019266945,0.021193854,0.016095884,0.021461997,0.023003766,0.018549657,0.016723959,0.014405765,0.015701875,0.017132191,0.016200698,0.013693891,0.021806631,0.017612168
Sh3bp4,0.041675581,0.04880754,0.029458645,0.006062294,0.001091013,0.004598772,0.007511533,0.002192341,0.000993051,0.000387666,0.000791157,0.000827832,0.031740372,0.059360373
Ugt1a9,0.000287976,0.001684024,0,3.15E-05,0,0.000538856,0.000461372,0.000302283,0.000181521,0,0.000531678,0.000367792,0,0.000122118
Ugt1a10,0.002347539,0.000112987,0,0.000342172,0.0004704,0,8.36E-05,0.00068449,0.000986488,0.000936017,0.001805901,0.001094577,8.53E-05,0.000516177
Slc16a14,0.0126508,0.019917491,0.00137916,0,0.001052988,0.003755646,0.001169312,0,0.000805089,0,0.00013475,0,0.003341904,0.009903929
Pask,0.130935129,0.107043619,0.108653976,0.031987228,0.053434399,0.110424093,0.128227737,0.141127192,0.160125182,0.095064687,0.120302567,0.122475017,0.125656984,0.119562611
Serpinb12,0.01005714,0.014703017,0,0.007627296,0,0.00419011,0.000906341,0.000282771,0.000445736,0.001611164,0,0.000344052,0.000925118,0.010928487
Cdh20,0.001629727,0.002688035,0.000902012,0.000740045,0,0.000879668,0.000180763,0.000197388,7.41E-05,9.64E-05,3.47E-05,6.86E-05,0.001752822,0.000983479
Cdh7,0.002570492,0.004102219,0.000255647,0.000266212,0.002049459,0.000569589,0.000433498,0.00014201,0.000106596,0.000115592,0,0.000567726,0.001769916,0.001185645
Cntnap5a,0.000386157,0.000655431,0.000130589,0.000134396,0.000622499,0.000337322,0.000113633,7.09E-06,4.10E-05,6.06E-05,3.93E-05,3.45E-05,0.000417554,0.00071516
Dpp10,0.00021928,9.70E-05,1.02E-05,0.000125467,2.02E-05,0.000104761,2.24E-05,2.10E-06,4.19E-05,0,0,1.02E-05,0.000109866,0.000142447
Clasp1,0.09806373,0.098748485,0.095581505,0.061984324,0.061022808,0.079323087,0.118481968,0.099448876,0.111846531,0.065469007,0.080354215,0.089627848,0.113914509,0.113841069
Mapkapk2,0.611400669,0.530169355,0.546090872,0.50505961,0.521161379,0.42664047,0.952936257,0.851679662,0.757995531,0.795682077,0.74076058,0.681570999,0.920802654,0.987306924
Cdk18,0.010106514,0.016837832,0.00519818,0.001019841,0.017385093,0.001272864,0.011209725,0.001981828,0.000735054,0.000265694,0,0.000283685,0.009662103,0.013846147
Rab3gap1,0.23243698,0.230910088,0.236958473,0.271988632,0.272212021,0.264986774,0.251933252,0.225491766,0.211037467,0.217678094,0.203972034,0.23552822,0.288007326,0.245330379
Thsd7b,0.000864699,0.001641556,0.000327887,0.000601688,0.000943786,0.000522335,0.000252977,0.000226632,0.000188397,0.000246696,0.000141599,0.000209897,0.000796786,0.000720604
Rnpep,0.33546137,0.241753739,0.409974802,0.217194786,0.24091102,0.300310316,0.588634178,0.501990763,0.533665696,0.471217032,0.449949185,0.422427595,0.448662747,0.49224362
Camsap2,0.204862681,0.210392797,0.178868027,0.199882102,0.113303559,0.164167721,0.124505092,0.052481209,0.046958308,0.073926525,0.023491987,0.0332504,0.180871736,0.203219231
Aspm,0.377715194,0.399398793,0.473227039,0.164096936,0.352334386,0.457473605,0.632619134,0.783031984,0.5506604,0.383927856,0.538249544,0.650829366,0.441961666,0.636698298
Kcnt2,0.000583169,0.000732572,0.000152582,2.55E-05,0.003638881,0.000627449,0,1.75E-05,0.000147036,0.00020927,4.31E-05,7.45E-05,0.000610344,0.000807832
Pla2g4a,0.004105484,0.004703325,0.000989365,0.00145271,0.000759876,0.00132668,0,0.000437425,0.000510754,0.000581548,0.000628324,0.000887037,0.003551214,0.00288631
Cdc73,0.14390641,0.146871215,0.148361299,0.151668872,0.150464744,0.140247439,0.16335906,0.138267914,0.125338634,0.103547954,0.099387142,0.127577192,0.167346891,0.176234051
Stx6,0.23933683,0.216800097,0.21712496,0.190414237,0.141682867,0.130564838,0.250907407,0.152880601,0.127671567,0.197694808,0.154511369,0.123536708,0.232298221,0.244749393
1700025G04Rik,0.10858335,0.107393835,0.073902008,0.010813647,0.001197917,0.006970463,0.027266555,0.003607375,0.002150064,0.003834702,0.000778911,0.001359327,0.080499839,0.073540449
Nmnat2,0.005282648,0.008327852,0.001283978,0.008747559,0.006372052,0.012335739,0.00220604,0.001928445,0.003275241,0.002819103,0.004508825,0.002607078,0.003568802,0.004590431
Brinp2,0.006212542,0.005326685,0.001480233,0.000504108,0.002910687,0.000539295,0.000492531,0.000172874,9.08E-05,0,7.09E-05,0.000140226,0.002450832,0.004399814
Rasal2,0.004461371,0.004331535,0.000983917,0.003733502,0.003523477,0.002158975,0.005570231,0.011419168,0.006690978,0.004100993,0.008705491,0.007774964,0.004251646,0.005653847
Rcsd1,0.327602576,0.316498888,0.268401047,0.152996587,0.127423064,0.157563841,0.238578356,0.286304825,0.237070733,0.194445379,0.165349104,0.145012416,0.405572582,0.359679613
Rabgap1l,0.069711841,0.078015342,0.066012796,0.074154316,0.081264277,0.081712701,0.087999333,0.059594385,0.049674573,0.059303864,0.067134876,0.064296112,0.104715885,0.111016326
Rgs7,0.00036105,0.001279603,1.43E-05,0,0.001278573,0.000633366,0.00011043,5.17E-05,3.88E-05,0.000117784,4.54E-05,4.49E-05,0.000628001,0.001085652
Fcrla,0.009950117,0.042485175,0.006198504,0.039158296,0.029223507,0.024935465,0.003415984,0,0.002687953,0,0.000393653,0.00194509,0.014644372,0.028330201
Cnih3,0.002699922,0.001797075,0.000947628,0.000259157,0.002992714,0.000646908,0.000126603,5.92E-05,3.11E-05,0,7.29E-05,0.000108133,0.000516903,0.002010581
Itpkb,0.414928698,0.339868867,0.295282417,0.865487519,0.757512497,0.738623938,0.243577872,0.276361462,0.383544612,0.412856185,0.469162928,0.384012583,0.326319307,0.268437687
Smyd3,0.006106669,0.006449776,0.004224538,0.00534881,0.00405166,0.005228416,0.006304988,0.004018999,0.003813595,0.003401084,0.004029586,0.003631379,0.004487669,0.004561036
Akt3,0.039189107,0.04782133,0.035650289,0.040143739,0.040012966,0.031522937,0.022884189,0.02395869,0.01734049,0.016093465,0.016362194,0.01744478,0.033000553,0.029918035
Trp53bp2,0.119792767,0.123912687,0.10412677,0.151014881,0.082368579,0.148342764,0.10706558,0.108261273,0.090030392,0.13254362,0.100376421,0.100729556,0.09775259,0.139993624
Esrrg,0.001431748,0.001769067,5.63E-05,0.000415666,0.000838107,0.000551733,9.02E-05,7.92E-05,3.88E-05,4.21E-05,2.60E-05,6.42E-05,0.001393296,0.000945545
Ptpn14,0.059949966,0.095217884,0.059577953,0.003426119,0.005911328,0.002891861,0.019025118,0.006122519,0.001540537,0.00201447,0.001672191,0.00152135,0.053461777,0.043894188
Rps6kc1,0.014422905,0.021582502,0.013693014,0.016318171,0.014333103,0.012715443,0.010277044,0.011161742,0.005642288,0.007411041,0.008491296,0.007213583,0.016790534,0.018219981
Ush2a,0.003025183,0.003431629,0.00065739,0.000272088,0.001029098,0.00070995,0.00041821,0.000150202,0.000138711,9.85E-05,0.000224158,5.54E-05,0.001399751,0.002694398
Tgfb2,0.024280237,0.019442497,0.028110117,0.001009372,0.005365512,0.000479923,0.008793546,0.000461526,0.000687092,0.00100804,0.000662943,0,0.019545276,0.007685853
A330023F24Rik,0.013409684,0.009764574,0.006906179,0.030632769,0.02351619,0.027336175,0.006889662,0.008996775,0.007651033,0.032831116,0.01549493,0.016388148,0.01916896,0.020294695
Xkr4,0.001509687,0.001051715,6.79E-06,0.00019396,0,0.000971969,0.000179532,7.00E-06,2.94E-05,0.00011968,1.72E-05,2.56E-05,0.000229064,0.000277195
Rgs20,0.000973705,0.005003838,0.001312412,0.000348361,0.000766255,0.000279508,0.000467997,0.000238927,0.000355701,6.81E-05,0.0001716,0,0.001823917,0.003040473
Atp6v1h,0.029063051,0.03916651,0.030376262,0.075544968,0.096589559,0.065819795,0.049444864,0.052712614,0.059901551,0.066887746,0.063026737,0.062326682,0.03968135,0.043558959
Rp1,0.002048705,0.003248922,0.000658678,0.000148042,0.001052044,0.000560406,0.000183584,0.00016402,0.000164157,0.000338218,0.000365422,0.000171056,0.000800657,0.002149819
St18,0.001560726,0.001780839,0.000232395,0.000299618,0.00012357,0.000587642,0.00032933,0.000128435,6.30E-05,4.88E-05,7.38E-05,2.08E-05,0.001251235,0.001339808
Adhfe1,0.009997983,0.005084011,0.003696374,0.009836667,0.005173992,0.000915067,0.006476821,0.001662201,0.002466024,0.00389976,0.000601919,0.001189663,0.00490494,0.014193742
Arfgef1,0.453476223,0.50075145,0.402638014,0.47301881,0.505981323,0.449407375,0.408304804,0.341484027,0.364585338,0.275837119,0.277641948,0.338728717,0.498663646,0.519837424
Sgk3,0.007130982,0.017273994,0.007970266,0.007174862,0.002846717,0.007675674,0.006122737,0.006104476,0.004778553,0.006778925,0.00417977,0.004092658,0.005977865,0.011097511
Mybl1,0.032099743,0.05411535,0.035845593,0.019774202,0.038488612,0.04291768,0.044199908,0.035710926,0.040296177,0.03202194,0.028470945,0.047130266,0.045115626,0.043779261
Cspp1,0.094850357,0.10454079,0.080147613,0.09905946,0.042705353,0.103952464,0.077330717,0.056374491,0.044806451,0.056931535,0.051019647,0.050576573,0.08614066,0.077816959
Tcf24,0.042109907,0.053532604,0.011177411,0.016812365,0,0.016701178,0.001759957,0.004118192,0.006491561,0.011262972,0,0.003006403,0.051197953,0.0116458
2610203C22Rik,0.001415626,0.006307265,0.000132281,0.000132646,0.000437652,0.001631908,0.0002916,0.000318419,0.00071704,0.001866114,0.000168018,0,0.001091351,0.002143937
Prex2,0.002315812,0.003337178,0.000759893,0.000240628,0.00119089,0.00064356,0.000440816,0.000144408,0.000292669,4.70E-05,0.000469891,7.53E-05,0.00193478,0.002139076
Sulf1,0.005179428,0.003611603,0.001322105,5.52E-05,0.003235069,0.001152361,0.000445261,0.000738791,0.000418049,0.000518088,0.000256557,0.000253536,0.003098769,0.003714169
Ncoa2,0.201873418,0.21934139,0.167350069,0.161200094,0.124629727,0.133772971,0.127129439,0.118118528,0.126675108,0.130071275,0.116792672,0.130544647,0.219697609,0.191466337
Slco5a1,0.015850093,0.009748921,0.008436773,0.001886861,0.008544804,0.005382843,0.001572422,0.000862749,0.000399989,0.000491575,0.000906019,0.000432238,0.006530686,0.009424175
Eya1,0.002970384,0.005233956,0.001251389,0.002377593,0.006972992,0.002154953,0.000387165,0.000385026,0.000142805,0.000206474,2.79E-05,0.00035824,0.003309686,0.005806991
Kcnb2,0.000684409,0.002435249,0.000149225,0.000106883,0.000299753,0.000926187,9.40E-05,2.93E-05,3.08E-05,0.000116953,0.000198565,5.35E-05,0.000319777,0.000414609
Stau2,0.002513836,0.003203322,0.001575137,0.00027214,0.00087149,0.000599398,0.000844594,0.000570931,0.000323065,0.000425397,0.000351469,0.000320613,0.001388926,0.002276901
Rdh10,0.037649264,0.032727239,0.030727786,0.039210914,0.026975494,0.019278171,0.065290756,0.019454671,0.020805221,0.032732849,0.013385422,0.021164495,0.040684939,0.042070823
Eloc,0.359871212,0.294472427,0.300899137,0.175737947,0.429093405,0.195824567,0.617770496,0.354910601,0.361332225,0.265659237,0.244847717,0.3339722,0.585007889,0.533231381
Sbspon,0.005308007,0.016649874,0.002075217,0.008643912,0.022380022,0.005137369,0.002111351,0.000905746,0.001730593,0.00675587,0.000405515,0.004107588,0.008799964,0.004036068
Jph1,0.002827453,0.004575546,0.000139581,7.00E-05,0.000692707,0.000823549,0.001948717,0.000191995,0,0.00019144,0,0.000817612,0.002146124,0.002443234
Gm16070,0.000275587,0.002148771,0.001502195,0.001626845,0,0.001160267,0.001457028,0.000247953,0.000260568,0.000141278,0,0.000829644,0.001757616,0.002337282
Tfap2d,0.004268309,0.009779721,0.002008227,0.001694511,0.018474148,0.002206874,0.000755816,0.000606364,0.00047791,0.000287911,0.000248855,0.000614811,0.004188005,0.006763668
Pkhd1,0.002729456,0.00325,0.000310015,0.000724438,0.004395783,0.000730464,0.000207459,0.000154199,0.000174047,0.000201751,0.000246104,0.000118129,0.001893357,0.001873435
Kcnq5,0.005010871,0.004231768,0.00340148,0.003766851,0.004534291,0.005880823,0.004586276,0.003543133,0.00394417,0.004458177,0.003705205,0.003931014,0.003442856,0.003832281
Rims1,0.001738048,0.001671727,0.00048936,0.000152599,0.000222125,0.000470545,0.00034204,7.39E-05,0.000135865,0.000168378,0.000181921,5.24E-05,0.001544213,0.001288346
Smap1,0.18068737,0.18230789,0.150458319,0.145674287,0.128355292,0.103658768,0.183397712,0.113294466,0.111419199,0.110654901,0.107910024,0.09950329,0.217015521,0.269420372
Col19a1,0.001835122,0.004258498,0.000771663,0.000386896,0.000236393,0.001318352,0.000231006,0.000314497,0.000340825,8.96E-05,0.000169405,0.000191327,0.001714854,0.004687679
Col9a1,0.007011063,0.007633492,0.000578411,0.000497149,0.001332736,0.005517947,0.001821494,0.000383597,0.001298918,0.000777119,0.000104953,0.000155576,0.007251002,0.009401337
Lgsn,0.006277946,0.015337509,0.001314061,0.000164711,0,0.000528623,0,0.000112969,0.001068443,0,0,0.000137451,0.005420652,0.00809306
Gm29669,0.001288788,0.000837396,8.03E-05,0.000603806,0.005378928,0.000452167,8.85E-05,0,0,0.000613497,0.000152964,0,0.001445189,0.002576434
Dst,0.037302038,0.037002085,0.023431246,0.012291646,0.013761788,0.010245482,0.008366716,0.021327602,0.007104199,0.00437089,0.003718937,0.006416922,0.029750761,0.022762993
Ptpn18,0.668575474,0.722376722,0.591832665,1.360276049,1.476268354,0.947333692,0.859335572,1.218498337,1.268487442,1.718270661,1.634688045,1.249003492,0.75039743,0.75212953
Plekhb2,0.683781427,0.72279112,0.693476125,0.333931733,0.370723822,0.38118014,0.764462289,0.4665999,0.325188525,0.492918151,0.475343501,0.426085703,0.848429079,0.929992982
Fam178b,0.007497094,0.010126109,0.009807786,0.000696957,0.006132098,0.005509196,0.003688487,0.000398346,0.00011163,0.0007263,0.000588539,0.000226181,0.005908003,0.005757563
Uggt1,0.304559447,0.306428673,0.321003138,0.419839158,0.387562006,0.401329401,0.422983398,0.411797131,0.450773292,0.443738954,0.356191779,0.407813965,0.376063287,0.391874889
Lman2l,0.040043561,0.042575713,0.035656297,0.021489527,0.067872405,0.025936889,0.029878948,0.038673655,0.022107752,0.033591379,0.025281216,0.024217164,0.046159089,0.047498324
Cnga3,0.018018042,0.021903993,0.003421656,0.000190616,0.005660268,0.011011766,0.003352299,0.000980522,0.000686938,0.001564302,0.004587483,0.002465569,0.015540454,0.019471285
Inpp4a,0.045998614,0.048854279,0.039166102,0.073639014,0.063170679,0.085081412,0.040578608,0.03402668,0.033331491,0.05673225,0.050741991,0.043648193,0.04538498,0.046465979
Mgat4a,0.053656224,0.074544912,0.058052411,0.051849852,0.049656619,0.059985081,0.056890634,0.048685008,0.025994337,0.052108153,0.030532662,0.03404051,0.0703558,0.079324581
4930594C11Rik,0.324759418,0.200684596,0.306013738,0.385806741,0.230994763,0.180074185,0.253238291,0.136902287,0.125615444,0.310851022,0.132077464,0.198891053,0.262941428,0.2927662
Tmem131,0.137350268,0.156032037,0.132115791,0.120057641,0.076926873,0.120002662,0.13514535,0.095461042,0.09767598,0.094628511,0.075737108,0.093171095,0.112604601,0.153883619
Mitd1,0.087481853,0.120788704,0.098947042,0.200233104,0.102055322,0.228596768,0.148915989,0.232849476,0.227894516,0.147387763,0.162523557,0.176571071,0.104165514,0.151093275
Eif5b,0.7340249,0.671612102,0.948514552,0.844105135,0.411097584,0.890973721,1.205606932,0.987908233,1.047864528,0.672843008,0.698905211,0.910193189,0.88229656,0.940348718
Aff3,0.049871928,0.075082946,0.042954684,0.074091217,0.074261761,0.076806359,0.003421311,0.002152341,0.002041175,0.002392888,0.001203807,0.000423158,0.012408733,0.007298955
Rfx8,0.003575804,0.011285063,0.004677908,0.002764228,0.002210977,0.004390956,0.001104851,0.000459606,0.001026351,0.000720151,0.000212203,0.001817434,0.003132615,0.005740413
Tbc1d8,0.020888345,0.021888027,0.017234412,0.013787867,0.012772092,0.013540471,0.007521789,0.004355385,0.004984505,0.006051023,0.001542611,0.003339265,0.01385876,0.02232727
Npas2,0.007007754,0.00621651,0.001994553,0.001541327,0.001452984,0.001295574,0.000322699,0.00050969,0.000238054,0.00058082,0.000116211,0.000413432,0.002182175,0.003131819
Il1r1,0.006559022,0.010930149,0.000336494,0.004251516,0.003506857,0.002923891,0.001112646,0.001110837,0.001057912,0.00063293,8.55E-05,0.00050684,0.004012799,0.004253879
Il1r2,0.949445134,0.671658214,0.694528814,0.004286655,0.000300923,0.01180617,0.944619965,0.088701871,0.058111232,0.212140999,0.185612453,0.138673757,1.4608158,1.270824488
Map4k4,1.182157695,1.256415467,1.034718508,0.906946038,0.463764364,0.777371542,0.577101708,0.230626594,0.23410062,0.307970522,0.252784589,0.23887934,0.928389535,0.970174353
Slc9a2,0.001603813,0.004793592,0.00115397,0.00099936,0.010238926,0.000618962,0,0.000180374,0.000265371,0.000164437,0.000266495,0,0.005271691,0.000680104
Mrps9,0.149440267,0.152439444,0.175733074,0.146257943,0.09399653,0.181673908,0.220878334,0.183700683,0.196319572,0.13808471,0.142824418,0.143216187,0.192257886,0.163966436
Nck2,0.068679591,0.085066188,0.061376044,0.04093556,0.026645826,0.037253688,0.030186627,0.023172301,0.021147098,0.033789386,0.017768721,0.016415654,0.042837579,0.057720862
Uxs1,0.032645396,0.039106914,0.041978032,0.029608044,0.030468184,0.025685537,0.059463302,0.037368031,0.044635377,0.041951384,0.044058546,0.046959362,0.051284458,0.0510453
Gulp1,0.001101752,0.001281028,0.000202291,0.000741668,0.003419601,2.03E-05,0.00050167,1.30E-05,0.000301547,0,0.000112412,1.59E-05,0.0014224,0.000737689
Ercc5,0.165827464,0.180915659,0.201249592,0.170761432,0.145343939,0.185817529,0.175161411,0.165383252,0.170878785,0.173840154,0.15209762,0.137023757,0.211582498,0.166456805
Col5a2,0.004853649,0.007812529,0.000745597,0.000687359,0.005848714,0.000851443,0.00053019,9.92E-05,0.001121207,0.000141374,0.00073318,0.000392463,0.002759988,0.002292099
Dnah7c,0.002980128,0.005470194,0.000560429,0.001062866,0.002821574,0.00129389,0.000286471,0.000134065,0.000176107,0.000296,0.000237277,9.18E-05,0.00319819,0.002764423
Tmeff2,0.002051982,0.00126662,0.000301998,0.001127204,0.000277544,0.000359965,0.000320533,0.000300011,0.000194015,0.000144641,1.42E-05,9.83E-05,0.001031855,0.000609106
9330175M20Rik,0.003636773,0.008330614,0.000376313,0.00270884,0.00066698,0.001557091,0.000888794,0.000637782,0.000670229,0.000473992,0,0.000101217,0.004959403,0.006534703
Myo1b,0.0169796,0.015340003,0.008262232,0.002160091,0.010227695,0.001890709,0.004193559,0.002347345,0.002123038,0.001512869,0.001255528,0.000772539,0.012883285,0.01302216
Gls,0.402811929,0.38173218,0.454736904,0.455278173,0.633061415,0.390503857,0.658513906,0.412950045,0.39820541,0.345122704,0.346969779,0.422496282,0.478840442,0.51313414
Stat4,0.686570682,0.713948818,0.697387021,0.856895335,0.946921336,0.794302363,0.776631601,0.350072809,0.51466636,0.555849125,0.534854457,0.500015731,0.87213909,0.848428989
Asnsd1,0.480877374,0.54009131,0.539268224,0.338186407,0.869484606,0.346404515,0.655988112,0.624676109,0.532792651,0.356528506,0.395761206,0.447115606,0.588122636,0.557952065
Mfsd6,0.123217067,0.14609647,0.116352516,0.410258014,0.392845473,0.259171386,0.19126025,0.150422886,0.146501144,0.220800668,0.216365079,0.196915471,0.17051346,0.171372279
Pms1,0.042084337,0.056489097,0.050251548,0.02366636,0.031976166,0.035130868,0.052438588,0.047389804,0.043252153,0.030738241,0.03006861,0.030581076,0.047182248,0.042125631
Ccdc150,0.003555101,0.010884139,0.001970688,0.000197612,0.01056242,0.002240903,0.000231689,0.000487924,0.00014243,0.001729829,0.000133498,0.000131926,0.002364891,0.005570293
Hecw2,0.004139962,0.005451334,0.003506785,0.000865097,0.002160543,0.00088692,0.000528269,0.000337872,0.000285781,0.00080761,2.03E-05,0.000310827,0.002983646,0.003650963
Boll,0.002849824,0.002495751,0.00164796,0.000121906,0.000536289,0.00121721,0.000595533,0.000111481,0.00079078,0.000635193,0.000377456,0.000203461,0.0018844,0.001681364
Ankrd44,0.09505885,0.108072187,0.084107681,0.190768612,0.251779307,0.165530024,0.110839958,0.132946969,0.123414919,0.182936938,0.150663598,0.155081723,0.139408955,0.135139815
Rftn2,0.009295626,0.011263553,0.006792433,0.00519077,0.002446628,0.007315977,0.004467806,0.00242994,0.003325572,0.003091032,0.003896267,0.001375139,0.008257965,0.008842532
9130227L01Rik,0.006405222,0.007423792,0.001434309,0,0.006181516,0.001457676,0.002329733,0.000934531,0.000327359,0.002041153,0,0.00056853,0.006114856,0.005872785
Satb2,0.00246508,0.005105411,0.000571067,0.000454745,0.001291997,0.001027027,0.000259176,0.000485165,9.10E-05,1.97E-05,0.000341338,0.000379484,0.002267533,0.001992657
Maip1,0.251454246,0.22977057,0.203829593,0.221513684,0.198603533,0.20005544,0.338166563,0.295598088,0.225023672,0.180343427,0.175872613,0.207959277,0.324762376,0.385010601
Aox3,0.012508862,0.017310927,0.001700181,0.001545039,0,0.00227984,0.003669785,0.000621192,0.000537597,0.001957088,0.001304694,0.000400137,0.00565857,0.006544437
Aox1,0.010136991,0.013656531,0.001013863,0.001890987,0.008251729,0.00378493,0.001430369,0.000585721,0.000527588,0.000476758,0.000978701,0.000101808,0.005383762,0.010017005
Spats2l,0.00334758,0.00822296,0.00048066,0.000508762,0.000265043,0.002177098,0.000941833,0.000606054,0.000212296,0.000251139,0.00085924,0,0.00132185,0.003773942
Ndufb3,0.21158335,0.22575215,0.195537607,0.145596907,0.294012828,0.167741221,0.230507372,0.253488694,0.244625016,0.163651657,0.203131504,0.204396833,0.25932114,0.204001458
Aox2,0.009908702,0.014145959,0.001278011,0.002242688,0.00158561,0.004210892,0.00389047,0.000878955,0.000428848,0.001645514,0.00057974,0.00026736,0.006778208,0.008285297
